teacher_prefix,school_state,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
Mrs.,CT,Grades 3-5,"Applied Learning, Math & Science","Extracurricular, Mathematics",Can you Rubik?!,"Imagine a classroom where learning is student driven and created while the teacher becomes a facilitator and cheerleader for his/her students.  This describes my classroom. I have the privilege of teaching over 500 students each week in a diverse community in Manchester, CT.  I travel to four different schools throughout the week to bring the inspiration and creativity of enrichment to every child, regardless of their intellectual ability.  \r\n\r\nWe believe that every child deserves to have the opportunity to have an enriching learning experience to challenge their brain and collaborate with their classmates.  \r\n\r\nMy enrichment lessons increase executive functioning, social and emotional development, cognitive flexibility, creativity, and original thinking.  My students are innovative thinkers who require interactive and hands-on lessons to encourage higher level thinking.","My students need Rubik's cubes to create mosaics, learn algorithms, and improve their persistence to solve a problem.",3,1
Ms.,OH,Grades 3-5,Math & Science,Mathematics,The Cleveland Comback,"Magic is happening this year in 4th and 5th grade Title Block. We are the dream team. We are fighters. We are warriors. We persevere and show just how much we grow every day. \r\nTitle Block sometimes means we need a minute in the reflection station or we need to take some time to recollect and take a breath, but once we're back in the game, we are ALL IN. #DREAMBLOCK #CleLOVE\r\nWe are here to show GROWTH and STRENGTH!",My students need visual organizers and lab materials to keep them organized and prepared.,0,0
Mrs.,AZ,Grades 3-5,Math & Science,Environmental Science,Adaptation or Extinction?,"I work in a Title 1 school in Gilbert, AZ.  I work with fourth grade children, high achievers to struggling learners.  By allowing the students to do \""hands on\"" projects it puts all the students on an even playing field.  Problem solving, working collaboratively, thinking critically and perseverance are skills that everyone needs in the 21st century.  \r\n\r\n\""Intelligence is based on how efficient a species became at doing the things they need to survive.\"" Charles Darwin.   I want my students to discover new things on their own, with me facilitating their learning.  What does form verses function mean? That is what I want my students to be able to understand and be able to explain it to others.",My students need hex-bugs and their habitat to understand the concept of adaptations species need to develop in order to survive.,3,0
Mr.,CA,Grades 3-5,Health & Sports,Team Sports,Exposing students to various SPORTS,"Our students are smart, vibrant, and eager for a stable community within which they can grow and thrive. Our school serves a largely under-resourced and undeserved urban population, with a predominantly African American, Latino and mixed demographic. We opened in 2015 to much enthusiasm this year as a model school for a Community Responsive Educational approach. That means we take our students' community needs and experiences seriously; in fact, they form the focus of the school's curriculum. Every day, students learn in both English and Spanish--to reflect the language at least half speak at home, in the hopes that this can create more common experiences and bridges in their community. Our kids also participate in a daily performing arts curriculum designed to foster greater understanding of cultural heritage (their own and others'), while honing their own sense of voice and agency. All of these are skills we hope will help them to positively change their communities from within.",My students need goals that will allow them to play various sports that they have never been exposed to such as hockey and lacrosse.,1,0
Ms.,SC,Grades 6-8,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",Technology to support individualized education!,"I teach a multi-categorical special education class with students in grades 6 through 8. What this means is I work with students in a special education classroom who have various disabilities that affect their ability to progress with the general education curriculum. I teach modified curriculum based on students ability levels in the areas of language arts (reading and writing) and mathematics. My students are each unique and each amazing. I strive to bring out the best in each and every child that I work with. \r\nEach unique student that I work with deserves the best education possible. My goal is not only to help the student learn and grow, but to make sure that they feel accepted, loved and advocated for.",My students need access to Chromebooks to support individualized education that utilizes technology.,4,1
Ms.,WA,Grades 6-8,Literacy & Language,Literature & Writing,Basic Classroom Supplies,"During my day I see between 60 and 70 students.  I teach resource language arts to theses students. Each of my students has a disability which is impacting their ability to be successful in a general education setting, so it is my job to bring them up to grade level. My students come to me at least two years below grade level in reading and/or writing. Disabilities vary from learning disabilities, health (ADHAD, autism), vision or behavior.  Each student has individual needs which I strive to meet.\r\n\r\nI teach in a high povert, high transitional district. My students often come to school with no breakfast and no supplies. The school provides breakfast; I provide materials. No child should have to feel different because they aren't able to pull a pencil out of their backpack.","My students need materials to help meet their needs in decoding, vocabulary and writing skills such as spelling and grammar. Dry-erase boards provide a non-threatening strategy to practice these skills.",0,1
Mrs.,FL,Grades PreK-2,"Warmth, Care & Hunger","Warmth, Care & Hunger",School Readiness,"The students at my school are special because they help make up a family of loving, caring, and compassionate individuals. A place where people go above and beyond the call of duty to make sure that our students have the things that they need not only to succeed in the classroom but to survive outside of it. \r\n\r\nOur school is a Pre-K thru 12th school that is located in a small, rural community. When students come to our school we want them to know that we are a family and help one another anyway we can!",My students need backpacks so they are prepared for school each day!,3,0
Ms.,NY,Grades 3-5,Literacy & Language,"Literacy, Literature & Writing",Class V06 Students Take Their First Steps Toward Becoming Readers!,"I have twelve students in my classroom who range anywhere from 7-11 years old. These twelve students are courageous, hilarious, eager, and loving students who have a wide range of learning disabilities. \r\n\r\n\""Everybody is a genius, but if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.\"" These twelve students have a range of different needs regarding retention, communication, behavior, fine motor, daily living skills, and even some sensory. My goal is help them become as independent as possible while also focusing on their individual needs. We work together every day to learn from and with each other to help make these goals become achievable.",My students need reading & writing activity stations along with different levels of guided reading books to help them take their first steps to becoming readers.,0,1
Ms.,NC,Grades 3-5,"Literacy & Language, Math & Science","Literacy, Mathematics",Kidney table for small group instruction,"My students are hard working third graders! My students come from a variety of backgrounds and home lives, many of which are low income. Our school is a title 1 school with diverse learners. Nearly all of my students receive free or reduce lunch and breakfast. \r\n\r\nMany of my students enter the grade below grade level expectations and have to work very hard to get up to grade level expectation. Despite the challenges they face they always work extremely hard to grow and make great progress in their education.",My students need a kidney shaped table for small group instruction. This will allow me to meet the varying needs of my students and individualize their instruction.,0,1
Ms.,MS,Grades 3-5,Music & The Arts,Visual Arts,Baby Lions Roaring for Art Supplies,"In the gifted program, QUEST, my students and I work together for up to five years. I am so blessed to be able to get to work with some of these talented students for this period of time, as many teachers do not get the opportunity to learn about their students for that long. \r\nI have a wide range of students, from twice exceptional to extremely creative. These students love to learn and experience new activities. They especially love competing in the district contests, which include art, Scrabble, chess, and poetry. \r\nWe also participate in several community outreach trips, which are some of the highlights of the school year.",My students need more art supplies in order to produce the best work possible for the district art contest.,0,0
